Bid Prices,Bid Dates,Wins,Location,Amount
7000,SEPTEMBER,1,ELK GROVE,4000
5000,JULY,0,SAN LUIS OBISBO,3000
8000,APRIL,1,LOS ANGELES,5000
4000,DECEMBER,1,SAN FRANCISCO,2500
9000,FEBURARY,0,POMONA,5500
7000,MARCH,1,MADERA,4500
10000,NOVEMBER,0,BAKERSFIELD,6000
6000,DECEMBER,1,FRESNO,3500
9000,JUNE,1,BERKLEY,6000
3000,DECEMBER,1,SAN JOSE,500
8000,JULY,0,TURLOCK,7000
16000,AUGUST,0,MERCED,10000
14000,SEPTEMBER,1,VISALIA,11000
5500,JUNE,1,FRESNO,3000
8500,JANURARY,0,LOS ANGELES,2500
7500,JANURARY,1,SAN LUIS OBISBO,4000
19000,NOVEMBER,1,MADERA,13000
10000,,1,TURLOCK,7000
6000,,1,LOS ANGELES,4000
8000,,0,MADERA,6500
10000,,0,BERKLEY,9000
13000,,0,FRESNO,10000
25000,,0,VISALIA,17000
9500,,1,LOS ANGELES,8000
5000,,0,TURLOCK,3500
7500,,1,MADERA,4000
1500,,0,SAN JOSE,1000
5000,,0,LOS ANGELES,2000
4000,,1,BAKERSFIELD,2500
9000,,1,ELK GROVE,8500
10000,,1,VISALIA,7000
7000,,0,FRESNO,6000
8000,,1,POMONA,5000
